,hindi,eng,gpt
101,बहुत कम कंपनियों को यह पुरस्कार इतने वर्षो तक लगातार मिला है।,very few companies have received this award for so many consecutive years,"

There is a lot of money in the bank.

This is"
107,यह खुलासा उनके पारिवारिक मित्र मार्थेल पोलांको ने किया है।,this was revealed by a family friend marythell polanco,"

This paper is about the problem of pollution and how it affects the environment"
112,यह समारोह तीन हफ्ते पहले ही हुआ है।,this ceremony took place three weeks ago,"

This speech is short. It is only three minutes long."
114,यह कोई सार्वजनिक समारोह नहीं था।,this was not a public ceremony,"

There is no such thing as a permanent solution to a problem."
115,यह शादी पूर्व प्रधानमंत्री के घर में स्थित निजी चैपल में हुई थी।,this wedding was held in the chapel at the former prime ministers home,"

The minister has given a speech in the parliament house."
116,इसके अलावा कोई कुछ नहीं बता सकता।,other than this no one can say anything more,"

If there are too many choices, it can be difficult to make a"
117,हालांकि वह इस शादी में नहीं गई।,however she did not go to the wedding,"

I don't know what this gift is from."
118,उन्होंने अपनी बधाई नवजोड़े को भेज दी है।,she had sent her best wishes to the newlyweds,"

He was angry because he saw a snake on the ground."
119,दोनों ने करीब तीन हफ्ते पहले यानी 8 या 9 अक्टूबर को विवाह रचाया।,they got married about three weeks ago on october 8th or 9th,"

There are eight and nine months left until the end of the year."
122,निचले इलाकों में भी सूरज की आंखमिचौली के बीच रुकरुककर बारिश जारी रही।,between the hide and seek with the sun rain continued in lowlying areas,"

There is a lot of sand in the area. It is likely that"
123,इसके साथ ही पूरी वादी में शीतलहर शुरू हो गई है।,this created a cold front in the valley,"

This is because the poor quality of the victim's blood results in a"
125,पूरे राज्य में लेह सबसे ठंडा रहा।,leh was the coolest place in the whole state,"

The government of the republic is doing a great job in terms of welfare"
127,जोजिला दर्रे पर भारी हिमपात हुआ है।,there is heavy snowfall in the jozilla pass,"

The road is dusty and there is a lot of noise."
130,ठंड से सामान्य जनजीवन भी प्रभावित होकर रह गया।,normal life has also been affected by the cold,"

If you want to preserve the memory of our nation, you should do"
131,शीतलहर से बचने के लिए लोग घरों में दुबके रहे।,people remained in their homes to avoid the cold,"

The person who sleeps on the ground should cover their head with a cloth"
132,इस बीच कई इलाकों में बिजली आपूर्ति भी ठप रहा।,meanwhile the electricity supply has also failed in this area,"

This is a letter from a person who lives in a different country than"
135,जम्मू में न्यूनतम तापमान 166 और अधिकतम 270 डिग्री सेल्सियस रिकॉर्ड किया गया।,a minimum temperature of 166 and a maximum temperature of 270 degrees celsius were recorded in jammu,"

There are 166 and 270 degrees Celsius in the thermometer."
143,देश में इतने अखबार और चैनल हैं।,the country has so many newspapers and news channels,"

The country has two airports, Ithna-Ashari and Ch"
148,ऐसा करके टीडीएस का रुपया खुद के पास जमा करता रहा।,in this way he kept the accumulated tds amount,"

It would be better if you stopped using that tablet. It's making"
154,आयकर विभाग उन्हें लगातार टारगेट करके कार्रवाइयां कर रहा है।,the income tax department is continuing to target him and take action,"

The administrative system of the country is very complex. It makes it difficult"
156,दीपावली को देखते हुए मिठाई की मांग बढ़ जाती है।,as diwali is approaching the demand for desserts has increased,"

Dipavali is a festival celebrated in the month of October in"
157,इसे देखते हुए घटिया व नकली मावे की बिक्री बढ़ जाती है।,because of this the sale of substandard and counterfeit milk solids has increased,"

This means that you are very smart."
162,गंदगी में रखे घटिया मावे को मध्यप्रदेश से नागपुर लाने की सूचना विभाग को मिली।,the department received a tip off that substandard milk solids were being brought from madhya pradesh to nagpur and stored in soil,"

Gandagi mein rakhte ghotiya mavae"
163,ट्रांसपोर्ट गैरेज से मावे की खेप नागपुर मंगाई जा रही है।,the milk solids were brought from the transport garage to nagpur,"

The tower of the Girnar Hill is said to be haunted by the"
164,विभाग ने इस मावे को कब्जे में लिया जिसकी कीमत 70 हजार रु बताई गई।,the milk solids seized by the department were reported to be worth rs70 thousand,"

The court ruled that the 70 kilograms of gold was wrongly seized."
165,कार्रवाई के डर ने किसी ने भी मावे पर हक नहीं जताया।,no one has claimed the milk solids due to the risk of legal action,"

The election results have not yet been announced, but it seems that no"
166,विभाग ने अनक्लेम अघोषित संपत्ति मानकर इसे नष्ट कर दिया।,the department has destroyed the same as it was considered unclaimed unknown,"

The law enforcement agency is not allowing the use of alcohol in public."
169,इसका नमूना प्रयोगशाला भेजा जाएगा।,a sample has been sent to the laboratory,"

This means that if you want to improve your memory, you should practice"
172,इन मिठाइयों के सेवन से विषबाधा भी हो सकती है।,the consumption of these desserts can cause poisoning,"

These mountains are so beautiful. I can't believe how lucky I am"
173,विभाग ने मिठाई व्यवसायियों को अच्छे दूध मावे से मिठाई बनाने को कहा।,the department has asked tradesmen to use good milk and milk solids when making desserts,"

The school has announced that the students who have passed the Matriculation"
175,प्रदेश भाजपा के चुनिन्दा 42 वरिष्ठ नेताओं ने हवाईअड्डा पर उनकी जोरदार अगवानी की।,42 selected senior leaders of the state bjp unit gave him a grand reception at the airport,"

The Prime Minister of India, Mr. Narendra Modi, inaugurated the"
181,उन सभी को भाजपा ने शहीद घोषित किया है।,they all have been declared to be martyrs by the bjp,"

All of us are equal in the eyes of Bhagatji."
182,उनके गांव से अस्थिकलश लेकर पार्टी के नेता गुरुवार से यात्रा पर निकले हैं।,an urn tour was organized from their village by the party leaders on thursday,"

The election of the Congress party's president is drawing to a close."
184,इसी यात्रा के अंश रूप में सांत्वना यात्रा का आयोजन है।,the consolation tour was a part of this tour,"

This is a translation of the article ""The Nature of Truth"" from"
185,इसके मुख्य किरदार नरेन्द्र मोदी हैं।,the main player in this was narendra modi,"

The Prime Minister of India, Mr. Narendra Modi, is a Raj"
188,इस आर्थिक मदद की घोषणा भाजपा ने पहले से ही कर रखी है।,this financial aid has been already announced by the bjp,"

This article has caused a lot of controversy because of its contents."
197,बल्कि कई क्रिकेट पंडितों ने तो उन्हें सचिन से भी बेहतर करार दे दिया है।,actually a lot of cricket greats have said that he is better than sachin,"

If you have a computer with a keyboard and a mouse, you can"
201,रैना और युवराज पिछले मैच में बुरी तरह फ्लॉप रहे थे।,raina and yuvraj were very bog flops in the last match,"

Ran and Yura were fighting. Ran had a knife and Y"
202,युवराज तो सीरीज में दो मैचों में खाता भी नहीं खोल पाए हैं।,yuvraj could not even open his account in the two matches of the series,"

Yuvraj is also a snake. The two snakes have two"
203,ऐसे में उनके लिए बेंगलूर वनडे में अच्छी पारी लाइफलाइन का काम कर सकती है।,because of this a good innings at the bengaluru oneday would be a lifeline for him,"

There is a big difference between the two places. The beach at B"
206,ऑस्ट्रेलिया के पास नौवें नंबर तक अच्छे बल्लेबाज हैं।,australia has good batsmen up to number nine,"

Basket ball is a sport that many people enjoy. It is a"
208,हालांकि ओपनिंग में फिल ह्यूंज और एरोन फिंच कोई प्रभाव नहीं छोड़ पाए हैं।,although phil hugh and eron finch havent been able to make an impression at the opening,"

There is no need to worry about air pollution in the city because there"
209,गेंदबाजी में मिशेल जॉनसन की कमी ऑस्ट्रेलिया को भारी पड़ सकती है।,however the absence of bowler michael johnson could make things difficult,"

Gandhi Memorial is located in Kolkata and it is said"
213,इसके लिए वह सीमा पर कभी भी शांति नहीं होने देगा।,that is why they will never allow peace to prevail on the border,"

In general, if you want to have a long life, you should"
216,पाकिस्तान इस वायदे को गंभीरता से पूरा करने में जुटा हुआ है।,pakistan is seriously trying to complete this promise,"

Pakistan is one of the countries that have a lot of earthquakes. Earthqu"
217,सीमा पर सैनिकों की हत्या सांबा हीरानगर में आत्मघाती हमले इसी रणनीति का हिस्सा हैं।,the killing of soldiers on the border and suicide bombings in samba hiranagar are part of the same strategy,"

Sexual abuse is rampant in the Himalayas and the Rajasthan"
219,इनसे देशविरोधी तत्वों को शह मिलती है।,this would abet the antinational elements,"

The country's policy of development is based on the theory that it will"
221,अमेरिकी चौकसी पर जर्मनी के साथ सहयोग करने के लिए स्नो डेन तैयार,snowden ready to cooperate with germany over us surveillance,"

Marathi:

Aamirikshi Chakuse Pare"
225,हालांकि सच बोलना एक अपराध नहीं रहा है,however speaking the truth is not a crime,"

There is no need to be so emotional about this issue."
232,उन्होंने कहा कि दो जर्मन पत्रकारों के साथ रूस के लिए अपनी यात्रा पर थे,he was accompanied on his visit to russia by two german journalists,"

He thought that the two documents were in agreement."
239,frontier एयरलाइंस कैरी  ऑन बैगेज का शुल्क लगाएंगे,frontier airlines to charge for carryon baggage,"

The frontier is a line that marks the edge of a country or an"
245,हम वह चार्ज  नहीं करना चाहते उन्होंने कहा,we dont want to charge that she said,"

He won't be able to do that."
246,एयरलाइंस ने 2008 में प्रथम और द्वितीय जाँच बैग के लिए चार्ज शुरू कर दिया,airlines began charging for the first and second checked bags in 2008,"

In 2008, the ERAILANDS had a total of 2,"
248,शुल्क बोर्ड पर यात्रियों के लिए कम लाने के लिए एक तरीका है,fees are one way to get passengers to bring less on board,"

Shukla Bora Dpra Yeatraon Ki Ke Li"
251,एयरलाइन के अपने वेबसाइट में टिकट खरीदने वाले यात्रियों को यह नहीं देना पड़ता,passengers who buy their tickets on the airlines website wont have to pay,"

This is the email address of the website:

This is the"
258,अधिकांश ने यद्यपि   कैरी  ऑन बैग शुल्क छुआ तक नहीं हैं,most havent touched carryon bag fees though,"

The organization is not doing well and is in debt."
264,मुझे दांत पीसना और एक लड़ाई गेट पर बाहर  देखने के लिए उम्मीद थी,i was expecting to see gnashing of teeth and a fight breaking out at the gate,"

I don't know what to do. I'm feeling really sad and"
265,विमान भरा था और उन्होंने कहा कि यह licketysplit चढ़ा,the plane was full he said and it boarded licketysplit,"

The wind is strong and it's cold outside. And he said that"
268,यह फिर भी पानी दूर दे देंगे,it will still give away water,"

I don't think so."
273,frontier हालांकि इस क्षेत्र में आगे चला गया है,frontier has gone the furthest in this area though,"

The frontier is where the land meets the sky."
275,बुधवार को इसने ट्रिप मील के 25 प्रतिशत तक माइलेज अवार्ड घटा दिया,on wednesday it slashed the mileage award to 25 percent of the miles of the trip,"

Budhavar koi isne ti pi mila ke"
281,एनएसए ने वेबसाइट क्रैश होने के लिए हैकर्स के बजाय आंतरिक त्रुटि पर आरोप लगाया,nsa blames internal error not hackers for website crash,"

An error has occurred while trying to load the page. Please try again"
284,आज शाम इस समस्या का समाधान हो जाएगा।,the issue will be resolved this evening,"

If you have any questions about this service, please contact us."
288,प्रवक्ता ने कहा कि कोई भी वर्गीकृत सूचना खतरे में नहीं है।,no classified information is in danger the spokesperson said,"

Pravaktā ne kahā kī bhī"
303,विमान की डिलीवरी के रूप में bombardier के मुनाफे में गिरावट आदेशों में गिरावट,bombardier profit dips as plane deliveries orders fall,"

The word ""bombardier"" is derived from the French word """
315,15 ग्राहकों के और के ऑपरेटरों के साथ 403 सम्पूर्ण आर्डर और प्रतिबद्धता उपलब्ध है,there are currently 403 total orders and commitments with 15 customers and operators,"

The number of employees in the government and the private sector is 403."
319,हर निर्माता एक अलग तरीके से शेड्यूल बनाते हैं,every manufacturer schedules it in a different way,"

Hara is a very kind person. He has one eye."
321,यही कारण है कि उड़ान कार्यक्रम के माध्यम से सब हो जाएगा,that will happen all through the flight program,"

This has to do with the law. If you want to know what"
327,प्रति शेयर समायोजित आय 9 सेंट पर अपरिवर्तित रहे,adjusted earnings per share were unchanged at 9 cents,"

I have a nine-year-old daughter and she is very good"
328,राजस्व 42 बिलियन डॉलर से  41 बिलियन मामूली डूबा,revenue dipped marginally to 41 billion from 42 billion,"

Ramaswamy 42 years old, living in Dalli Raja"
331,शुद्ध आदेश 83 से 26 विमान तक गिर गया,net orders fell to 26 aircraft from 83,"

The number of districts is 83 and the number of ministers is 26."
332,एयरोस्पेस डिवीजन में बैकलॉग 30 सितम्बर पर  329 बिलियन था31 दिसंबर से कोई बदलाव नहीं,the backlog in the aerospace division was 329 billion as of september 30 unchanged from december 31,"

Erisps Dipsas Dini Janam me baitha"
334,एयरोस्पेस राजस्व में 2 अरब डॉलर में 13 प्रतिशत की गिरावट,aerospace revenue fell 13 percent to 2 billion,"

The EYARSPSR has two araabs of 13 each"
338,कार्यकारी अधिकारियों ने कहा कि नए मार्गदर्शन चौथी तिमाही में प्रदान किए जाएंगे,executives said new guidance would be provided in the fourth quarter,"

The work of administration of justice is very important. It is important to"
346,इसके लिए रिसर्चर्स ने दो प्रयोग किए।,to test this researchers did two experiments,"

This means that the computer has two memory banks."
347,उन्होंने कुछ लोगों से कंप्यूटर स्क्रीन पर बिंदुओं की संख्या बताने को कहा।,they asked some subjects to count the number of dots on a computer screen,"

They all looked at each other and then one of them said, """
348,मसलन लोगों को यह बताना था कि बिंदु बाईं तरफ अधिक है या दाईं तरफ।,for example subjects had to say if the dots were more on the right or lefthand side,"

The people of this world are all the same. They only care about"
353,यह रिसर्च साइकोलॉजिकल साइंस के ताजा अंक में प्रकाशित हुई है।,the research is published in the current issue of psychological science,"

This rock is called the Seracliksolaite and it is"
354,लूटपाट के बाद बदमाश तमंचे लहराते हुए फरार हो गए।,after the robbery the robbers left waving pistols,"

Loutapaata ka e baad bahamasht t"
355,परिजनों ने घायल को गंभीर अवस्था में अस्पताल में भर्ती कराया है।,relatives admitted the wounded to the hospital in a critical condition,"

The years following the establishment of the government were a time of great progress"
361,समाचार लिखे जाने तक मामले में कोई रिपोर्ट दर्ज नहीं हो सकी थी।,no report was filed until the news was reported,"

I don't understand what you're trying to say."
365,होटल कर्मियों ने विरोध किया तो मारपीट शुरू कर दी।,when the hotel employees protested the fight began,"

The hero achieved victory by practicing virtue and then received support from the mah"
367,इसी बीच वहां और कई लोग आ गए।,in the meantime a lot of people gathered there,"

This is the first time I've ever seen that. And I've"
369,फायरिंग से इलाके में सनसनी फैल गई।,the shooting triggered panic in the area,"

The phone rang and I felt a pain in my head."
370,इस पर होटल कर्मियों ने उसे धर दबोचा और खबर देकर पुलिस को बुला लिया।,after this the hotel employees caught him and informed the police,"

The person who was playing the game of chess lost their concentration and accidentally"
372,जिस पर पुलिस ने उसे आनंद को गिरफ्तार करते हुए रिवाल्वर जब्त कर ली।,upon which the police arrested anand and seized his revolver,"

Jis paar pulis ne us se aanand kore"
374,रात करीब आठ बजे आनंद पांडेय होटल पहुंचा और खाने का आर्डर दिया।,at around 8pm anand pandey arrived at the hotel and ordered food,"

Rattlesnake is a reptile that lives in warm climates"
375,खाना बनने में देरी हुई तो उसने गालीगलौज मारपीट और फायरिंग शुरू कर दी।,when the service was delayed he started shouting abuse assaulting the staff and shooting,"

The ground was wet and muddy due to the rain. The man stepped"
379,42 वर्षीय बशरत डिट्टा कुख्यात अपराधी नील स्कारबोरो को सूचना दिया करता था,basharat ditta 42 would feed information to crime lord neil scarbrough,"

42nd year of the Bharat Ratna Dr. D.S"
381,उसे लिवरपूल क्राउन कोर्ट ने तीन वर्ष जेल की सजा दी थी,was given a threeyear prison sentence at liverpool crown court,"

One year ago, the leopard was spotted near the tree where the"
392,उसने पहले की सुनवाई में कोकेन रखने के बारे में स्वीकार किया था।,he admitted cocaine possession at an earlier hearing,"

After that, he looked very sad.

He looked very sad"
406,लेकिन वह वकीलक्लाइंट सम्बन्ध की अपनी सीमा से कहीं आगे निकल गया।,but this went way beyond the ordinary confines of a lawyerclient relationship,"

For sure, if someone has a lot of intelligence, they will be"
408,श्री डिट्टा अपने पेशे का सम्मान नहीं बल्कि अपमान कर रहे थे।,mr ditta was not honouring his profession but dishonouring it,"

Shri Dittha Apari Pese Ke Sme Ke"
417,हम आपको खोज निकालेंगे तथा न्यायालय के समक्ष प्रस्तुत करेंगे।,we will find you and put you before the courts,"

You may be feeling uncomfortable because of the heat. However, you can"
421,विवादित मीडिया कानून पर केन्या का प्रेस आक्रोशित,kenyan press outraged at controversial media law,"

The Vishwa Hindu Parishad (VHP) has announced that it"
437,अतीत में केन्याई विधिनिर्माताओं को लोगों के गुस्से का सामना करना पड़ा है।,kenyan lawmakers have been the target of public anger in the past,"

The ability to create a record of your identity is important for the safety"
442,डांस के खूबसूरत रंग घोलेंने के लिए प्रियंका चोपड़ा मंच पर थीं।,priyanka chopra was on stage to add colour with her dances,"

Dasamosa kene khobasuraat ranga gh"
445,इसी तरह 135 लक्जरी कारें जिनमें बीएमडब्ल्यू और जुगआर मंगवाई गई।,same way 135 luxury cars were also used including bmws and jaguars,"

This place has 135 chairs. All of them are blue and green."
446,सूद ने कहा कि शहर में सफाई व्यवस्था स्ट्रीट लाइट बिल्कुल फेल हो चुकी है।,sood said that the citys sanitation system and street lights had totally broken down,"

She didn't like that the city was so dirty."
448,उन्होंने पंचकूला से गृहकर पूरी तरह समाप्त करने की माग की है।,he demanded the complete abolition of house tax in panchkula,"

He was able to get a scholarship to a different school than his original"
452,परतु पैसा शहर के विकास पर लगाने के लिए कोई कदम नहीं उठाया जा रहा।,so no steps are being taken to use that money for the development of the city,"

I don't understand what you're trying to say."
453,वीके सूद ने कहा कि डपिंग ग्राउंड की समस्या सबसे गंभीर है।,vk sood said the refuse dump issue is the most serious problem,"

The wind was blowing so hard that the leaves of the tree were rust"
458,यूएन ने निर्धनता से निपटने के लिए नए लक्ष्य निर्धारित किए,un hails new goals to tackle poverty,"

Younes has submitted a complaint to the national anti-corruption watchdog"
466,मोजाम्बिक की सुरक्षा चिंता का विषय ताकतवर शख्सियतों टकराव के रूप में बढ़ते हैं,mozambique security concerns mount as powerful personalities clash,"

A mental disorder is a condition that affects the mind. It can be"
472,1992 के शांति समझौते के बाद यह एक विपक्षी पार्टी बन गई,after a 1992 peace deal it became an opposition party,"

1992 was a very important year for the election of a new president."
479,राष्ट्रपति अर्मांडो जीबुझां ने अस्थिरता के बारे में चिंताओं को  बेक़दर करने कीमांग की है,president armando guebuza has sought to play down concerns about instability,"

Rajya Sabha MP Arvind Mahato has been accused of sexual"
